snapshot_date;offer_id;fipe_code;type;brand;model;version_raw;manufacture_year;model_year;price;city;state;store_code;store_name;source;version
2025-08-25;11388659;025266-2;hatch;renault;kwid;zen 1.0 flex 12v 5p mec.;2023;2024;53000;João Pessoa;PB;;João Pessoa Brisamar;movida;kwid zen 1.0 flex 12v 5p mec.
2025-08-25;11388697;025266-2;hatch;renault;kwid;zen 1.0 flex 12v 5p mec.;2023;2024;53000;Duque de Caxias;RJ;;Rio de Janeiro Duque de Caxias;movida;kwid zen 1.0 flex 12v 5p mec.
2025-08-25;11388851;025266-2;hatch;renault;kwid;zen 1.0 flex 12v 5p mec.;2023;2024;53000;Taubaté;SP;;Taubaté;movida;kwid zen 1.0 flex 12v 5p mec.
2025-08-25;11389121;025266-2;hatch;renault;kwid;zen 1.0 flex 12v 5p mec.;2023;2024;53000;Rio de Janeiro;RJ;;Rio de Janeiro Barra da Tijuca;movida;kwid zen 1.0 flex 12v 5p mec.
2025-08-25;11389176;025266-2;hatch;renault;kwid;zen 1.0 flex 12v 5p mec.;2023;2024;53000;Sorocaba;SP;;Sorocaba Dom Aguirre;movida;kwid zen 1.0 flex 12v 5p mec.
2025-08-25;11389291;025266-2;hatch;renault;kwid;zen 1.0 flex 12v 5p mec.;2023;2024;53000;Contagem;MG;;Contagem Babita Camargo;movida;kwid zen 1.0 flex 12v 5p mec.
2025-08-25;11389338;025266-2;hatch;renault;kwid;zen 1.0 flex 12v 5p mec.;2023;2024;53000;Canoas;RS;;Canoas;movida;kwid zen 1.0 flex 12v 5p mec.
2025-08-25;11389383;025266-2;hatch;renault;kwid;zen 1.0 flex 12v 5p mec.;2023;2024;53000;Nova Iguaçu;RJ;;Nova Iguaçu;movida;kwid zen 1.0 flex 12v 5p mec.
2025-08-25;11389471;025266-2;hatch;renault;kwid;zen 1.0 flex 12v 5p mec.;2023;2024;53000;São Paulo;SP;;São Paulo Vila Carrão;movida;kwid zen 1.0 flex 12v 5p mec.
2025-08-25;11389522;025266-2;hatch;renault;kwid;zen 1.0 flex 12v 5p mec.;2023;2024;53000;Belo Horizonte;MG;;Belo Horizonte Raja;movida;kwid zen 1.0 flex 12v 5p mec.
2025-08-25;11389730;025266-2;hatch;renault;kwid;zen 1.0 flex 12v 5p mec.;2023;2024;53000;Rio de Janeiro;RJ;;Rio de Janeiro Vila Valqueire;movida;kwid zen 1.0 flex 12v 5p mec.
2025-08-25;11389877;025266-2;hatch;renault;kwid;zen 1.0 flex 12v 5p mec.;2023;2024;53000;Nova Iguaçu;RJ;;Nova Iguaçu;movida;kwid zen 1.0 flex 12v 5p mec.
2025-08-25;11389925;025266-2;hatch;renault;kwid;zen 1.0 flex 12v 5p mec.;2023;2024;53000;Sorocaba;SP;;Sorocaba Dom Aguirre;movida;kwid zen 1.0 flex 12v 5p mec.
