brand_norm;model_norm;version_norm;model_year;fipe_brand;fipe_model;fipe_code;score;match_source;first_seen;last_seen
fiat;fastback;fastback audace 1.0 flex aut;2024;fiat;fastback audace 1.0 200 t. flex aut;001558-0;0.8171;contains;2025-08-25;2025-09-15
fiat;fastback;fastback audace 1.0 flex aut;2025;fiat;fastback audace 1.0 200 t. flex aut;001558-0;0.8171;contains;2025-08-25;2025-09-15
fiat;fastback;fastback audace 1.0 turbo 200 flex aut;2023;fiat;fastback audace 1.0 200 t. flex aut;001558-0;0.9474;contains;2025-08-25;2025-10-15
fiat;fastback;fastback audace 1.0 turbo 200 flex aut;2024;fiat;fastback audace 1.0 200 t. flex aut;001558-0;0.9474;contains;2025-08-25;2025-10-15
fiat;fastback;fastback audace 1.0 turbo 200 flex aut;2025;fiat;fastback audace 1.0 200 t. flex aut;001558-0;0.9474;contains;2025-08-31;2025-10-15
fiat;fastback;fastback impetus 1.0 flex aut;2023;fiat;fastback impetus 1.0 200 t. flex aut;001557-1;0.8193;contains;2025-08-25;2025-09-15
fiat;fastback;fastback impetus 1.0 flex aut;2024;fiat;fastback impetus 1.0 200 t. flex aut;001557-1;0.8193;contains;2025-08-25;2025-09-15
fiat;fastback;fastback impetus 1.0 turbo 200 flex aut;2023;fiat;fastback impetus 1.0 200 t. flex aut;001557-1;0.9487;contains;2025-09-15;2025-10-06
fiat;fastback;fastback impetus 1.0 turbo 200 flex aut;2024;fiat;fastback impetus 1.0 200 t. flex aut;001557-1;0.9487;contains;2025-08-31;2025-10-15
fiat;fastback;fastback limited edition 1.3 flex aut;2023;fiat;fastback limited ed.1.3 270 t.flex aut.;001556-3;0.6924;contains;2025-08-25;2025-09-15
fiat;fastback;fastback limited edition 1.3 flex aut;2024;fiat;fastback limited ed.1.3 270 t.flex aut.;001556-3;0.6924;contains;2025-08-25;2025-09-15
fiat;fastback;fastback limited edition 1.3 turbo 270 flex aut;2023;fiat;fastback limited ed.1.3 270 t.flex aut.;001556-3;0.7167;contains;2025-08-31;2025-10-15
fiat;fastback;fastback limited edition 1.3 turbo 270 flex aut;2024;fiat;fastback limited ed.1.3 270 t.flex aut.;001556-3;0.7167;contains;2025-08-31;2025-10-15
fiat;fastback;fastback limited edition 1.3 turbo 270 flex aut;2025;fiat;fastback limited ed.1.3 270 t.flex aut.;001556-3;0.7167;contains;2025-10-15;2025-10-15
fiat;fiorino;fiorino endurance 1.4 evo flex mec;2021;fiat;fiorino endurance evo 1.4 flex 8v 2p;001531-8;0.8456;contains;2025-09-15;2025-09-15
fiat;fiorino;fiorino endurance 1.4 evo flex mec;2022;fiat;fiorino endurance evo 1.4 flex 8v 2p;001531-8;0.8456;contains;2025-08-31;2025-10-15
fiat;fiorino;fiorino endurance 1.4 evo flex mec;2023;fiat;fiorino endurance evo 1.4 flex 8v 2p;001531-8;0.8456;contains;2025-08-31;2025-10-15
fiat;fiorino;fiorino endurance 1.4 evo flex mec;2024;fiat;fiorino endurance evo 1.4 flex 8v 2p;001531-8;0.8456;contains;2025-08-25;2025-10-15
fiat;fiorino;fiorino endurance 1.4 evo flex mec;2025;fiat;fiorino endurance evo 1.4 flex 8v 2p;001531-8;0.8456;contains;2025-08-25;2025-10-15
fiat;fiorino;fiorino endurance 1.4 flex mec;2021;fiat;fiorino endurance evo 1.4 flex 8v 2p;001531-8;0.8067;contains;2025-08-25;2025-08-25
fiat;fiorino;fiorino endurance 1.4 flex mec;2022;fiat;fiorino endurance evo 1.4 flex 8v 2p;001531-8;0.8067;contains;2025-08-25;2025-08-25
