snapshot_date;offer_id;fipe_code;type;brand;model;version_raw;manufacture_year;model_year;price;city;state;store_code;store_name;source;version
2025-08-25;11400416;025266-2;hatch;renault;kwid;zen 1.0 flex 12v 5p mec.;2023;2024;53000;Maringá;PR;;Maringá;movida;kwid zen 1.0 flex 12v 5p mec.
2025-08-25;11400741;025266-2;hatch;renault;kwid;zen 1.0 flex 12v 5p mec.;2023;2024;53000;Lauro de Freitas;BA;;Lauro de Freitas;movida;kwid zen 1.0 flex 12v 5p mec.
2025-08-25;11400706;025266-2;hatch;renault;kwid;zen 1.0 flex 12v 5p mec.;2023;2024;53000;Rio de Janeiro;RJ;;Rio de Janeiro Campo Grande;movida;kwid zen 1.0 flex 12v 5p mec.
2025-08-25;11400696;025266-2;hatch;renault;kwid;zen 1.0 flex 12v 5p mec.;2023;2024;53000;Rio de Janeiro;RJ;;Rio de Janeiro Barra da Tijuca;movida;kwid zen 1.0 flex 12v 5p mec.
2025-08-25;11400768;025266-2;hatch;renault;kwid;zen 1.0 flex 12v 5p mec.;2023;2024;53000;Nova Iguaçu;RJ;;Nova Iguaçu;movida;kwid zen 1.0 flex 12v 5p mec.
2025-08-25;11400938;025266-2;hatch;renault;kwid;zen 1.0 flex 12v 5p mec.;2023;2024;53000;São Paulo;SP;;São Paulo Vila Carrão;movida;kwid zen 1.0 flex 12v 5p mec.
2025-08-25;11401453;025266-2;hatch;renault;kwid;zen 1.0 flex 12v 5p mec.;2023;2024;53000;Belo Horizonte;MG;;Belo Horizonte Raja;movida;kwid zen 1.0 flex 12v 5p mec.
2025-08-25;11401532;025266-2;hatch;renault;kwid;zen 1.0 flex 12v 5p mec.;2023;2024;53000;Nova Iguaçu;RJ;;Nova Iguaçu;movida;kwid zen 1.0 flex 12v 5p mec.
2025-08-25;11401586;025266-2;hatch;renault;kwid;zen 1.0 flex 12v 5p mec.;2023;2024;53000;Fortaleza;CE;;Fortaleza Av. Santos Dumont;movida;kwid zen 1.0 flex 12v 5p mec.
2025-08-25;11401634;025266-2;hatch;renault;kwid;zen 1.0 flex 12v 5p mec.;2023;2024;53000;São Leopoldo;RS;;São Leopoldo;movida;kwid zen 1.0 flex 12v 5p mec.
2025-08-25;11401655;025266-2;hatch;renault;kwid;zen 1.0 flex 12v 5p mec.;2023;2024;53000;Juiz de Fora;MG;;Juiz de Fora;movida;kwid zen 1.0 flex 12v 5p mec.
2025-08-25;11401624;025266-2;hatch;renault;kwid;zen 1.0 flex 12v 5p mec.;2023;2024;53000;Canoas;RS;;Canoas;movida;kwid zen 1.0 flex 12v 5p mec.
2025-08-25;11402502;025266-2;hatch;renault;kwid;zen 1.0 flex 12v 5p mec.;2023;2024;53000;Belo Horizonte;MG;;Belo Horizonte Carlos Luz;movida;kwid zen 1.0 flex 12v 5p mec.
2025-08-25;11403024;025266-2;hatch;renault;kwid;zen 1.0 flex 12v 5p mec.;2023;2024;53000;Belo Horizonte;MG;;Belo Horizonte Antonio Carlos;movida;kwid zen 1.0 flex 12v 5p mec.
2025-08-25;11403427;025266-2;hatch;renault;kwid;zen 1.0 flex 12v 5p mec.;2023;2024;53000;João Pessoa;PB;;João Pessoa Brisamar;movida;kwid zen 1.0 flex 12v 5p mec.
2025-08-25;11403551;025266-2;hatch;renault;kwid;zen 1.0 flex 12v 5p mec.;2023;2024;53000;Belo Horizonte;MG;;Belo Horizonte Carlos Luz;movida;kwid zen 1.0 flex 12v 5p mec.
2025-08-25;11403658;025266-2;hatch;renault;kwid;zen 1.0 flex 12v 5p mec.;2023;2024;53000;São José dos Campos;SP;;São José dos Campos;movida;kwid zen 1.0 flex 12v 5p mec.
2025-08-25;11403731;025266-2;hatch;renault;kwid;zen 1.0 flex 12v 5p mec.;2023;2024;53000;Belo Horizonte;MG;;Belo Horizonte Raja;movida;kwid zen 1.0 flex 12v 5p mec.
2025-08-25;11403793;025266-2;hatch;renault;kwid;zen 1.0 flex 12v 5p mec.;2023;2024;53000;João Pessoa;PB;;João Pessoa Brisamar;movida;kwid zen 1.0 flex 12v 5p mec.
2025-08-25;11403939;025266-2;hatch;renault;kwid;zen 1.0 flex 12v 5p mec.;2023;2024;53000;Caxias do Sul;RS;;Caxias do Sul;movida;kwid zen 1.0 flex 12v 5p mec.
2025-08-25;11404285;025266-2;hatch;renault;kwid;zen 1.0 flex 12v 5p mec.;2023;2024;53000;Rio de Janeiro;RJ;;Rio de Janeiro Barra da Tijuca;movida;kwid zen 1.0 flex 12v 5p mec.
2025-08-25;11404430;025266-2;hatch;renault;kwid;zen 1.0 flex 12v 5p mec.;2023;2024;53000;São Paulo;SP;;São Paulo Aricanduva;movida;kwid zen 1.0 flex 12v 5p mec.
2025-08-25;11404426;025266-2;hatch;renault;kwid;zen 1.0 flex 12v 5p mec.;2023;2024;53000;Rio de Janeiro;RJ;;Rio de Janeiro Tijuca;movida;kwid zen 1.0 flex 12v 5p mec.
2025-08-25;11404438;025266-2;hatch;renault;kwid;zen 1.0 flex 12v 5p mec.;2023;2024;53000;Blumenau;SC;;Blumenau;movida;kwid zen 1.0 flex 12v 5p mec.
2025-08-25;11404601;025266-2;hatch;renault;kwid;zen 1.0 flex 12v 5p mec.;2023;2024;53000;Belo Horizonte;MG;;Belo Horizonte Carlos Luz;movida;kwid zen 1.0 flex 12v 5p mec.
2025-08-25;11404632;025266-2;hatch;renault;kwid;zen 1.0 flex 12v 5p mec.;2023;2024;53000;Taubaté;SP;;Taubaté;movida;kwid zen 1.0 flex 12v 5p mec.
2025-08-25;11404792;025266-2;hatch;renault;kwid;zen 1.0 flex 12v 5p mec.;2023;2024;53000;Londrina;PR;;Londrina;movida;kwid zen 1.0 flex 12v 5p mec.
2025-08-25;11404834;025266-2;hatch;renault;kwid;zen 1.0 flex 12v 5p mec.;2023;2024;53000;João Pessoa;PB;;João Pessoa Brisamar;movida;kwid zen 1.0 flex 12v 5p mec.
2025-08-25;11404830;025266-2;hatch;renault;kwid;zen 1.0 flex 12v 5p mec.;2023;2024;53000;Fortaleza;CE;;Fortaleza;movida;kwid zen 1.0 flex 12v 5p mec.
2025-08-25;11404822;025266-2;hatch;renault;kwid;zen 1.0 flex 12v 5p mec.;2023;2024;53000;Nova Iguaçu;RJ;;Nova Iguaçu;movida;kwid zen 1.0 flex 12v 5p mec.
2025-08-25;11404955;025266-2;hatch;renault;kwid;zen 1.0 flex 12v 5p mec.;2023;2024;53000;Canoas;RS;;Canoas;movida;kwid zen 1.0 flex 12v 5p mec.
2025-08-25;11404954;025266-2;hatch;renault;kwid;zen 1.0 flex 12v 5p mec.;2023;2024;53000;João Pessoa;PB;;João Pessoa Brisamar;movida;kwid zen 1.0 flex 12v 5p mec.
2025-08-25;11405180;025266-2;hatch;renault;kwid;zen 1.0 flex 12v 5p mec.;2023;2024;53000;Duque de Caxias;RJ;;Rio de Janeiro Duque de Caxias;movida;kwid zen 1.0 flex 12v 5p mec.
2025-08-25;11405323;025266-2;hatch;renault;kwid;zen 1.0 flex 12v 5p mec.;2023;2024;53000;Contagem;MG;;Contagem Babita Camargo;movida;kwid zen 1.0 flex 12v 5p mec.
